"X5000","X5000.1","X0.01","X0.125","X1","X1.1","X1.2","X1.3","X1e.04"
"355",1000,9000,0.01,3,0,0,0,0,1e-04
"356",1000,9000,0.01,4,1,1,1,0,1e-04
"357",1000,9000,0.01,5,0,0,0,0,1e-04
"358",1000,9000,0.05,0.125,0,0,0,0,1e-04
"359",1000,9000,0.05,0.25,1,1,1,1,1e-04
"360",1000,9000,0.05,0.375,0,0,0,0,1e-04
"361",1000,9000,0.05,0.5,0,0,0,0,1e-04
"362",1000,9000,0.05,0.625,0,0,0,0,1e-04
"363",1000,9000,0.05,0.75,0,0,0,0,1e-04
"364",1000,9000,0.05,0.875,0,0,0,1,1e-04
"365",1000,9000,0.05,1,0,0,0,0,1e-04
"366",1000,9000,0.05,1.125,0,0,0,0,1e-04
"367",1000,9000,0.05,1.25,0,0,0,0,1e-04
"368",1000,9000,0.05,1.375,0,0,0,0,1e-04
"369",1000,9000,0.05,1.5,0,0,0,0,1e-04
"370",1000,9000,0.05,1.75,0,0,0,0,1e-04
"371",1000,9000,0.05,2,0,0,0,0,1e-04
"372",1000,9000,0.05,3,0,0,0,0,1e-04
"373",1000,9000,0.05,4,1,1,1,1,1e-04
"374",1000,9000,0.05,5,1,1,1,1,1e-04
"375",1000,9000,0.1,0.125,0,0,0,0,1e-04
"376",1000,9000,0.1,0.25,0,0,0,0,1e-04
"377",1000,9000,0.1,0.375,0,0,0,0,1e-04
"378",1000,9000,0.1,0.5,0,0,0,0,1e-04
"379",1000,9000,0.1,0.625,0,0,0,0,1e-04
"380",1000,9000,0.1,0.75,0,0,0,0,1e-04
"381",1000,9000,0.1,0.875,1,1,1,0,1e-04
"382",1000,9000,0.1,1,0,0,0,0,1e-04
"383",1000,9000,0.1,1.125,0,0,0,0,1e-04
"384",1000,9000,0.1,1.25,0,1,1,0,1e-04
"385",1000,9000,0.1,1.375,0,0,0,0,1e-04
"386",1000,9000,0.1,1.5,0,0,0,0,1e-04
"387",1000,9000,0.1,1.75,0,0,0,0,1e-04
"388",1000,9000,0.1,2,0,0,0,0,1e-04
"389",1000,9000,0.1,3,1,1,1,1,1e-04
